tag_id,name,category,count,japanese_name
9999999,general,9,1589178,全年齢向け
9999998,sensitive,9,3994361,センシティブ 
9999997,questionable,9,892496,R-15
9999996,explicit,9,706509,R-18
470575,1girl,0,5113288,1人の女の子
212816,solo,0,4253220,ソロ
13197,long_hair,0,3645082,ロングヘア
8601,breasts,0,2889545,胸
469576,looking_at_viewer,0,2696730,視聴者を見ている
3389,blush,0,2496356,赤面
1815,smile,0,2365730,笑顔
11906,open_mouth,0,1950469,口を開けて
15080,short_hair,0,1904624,ショートヘア
10959,blue_eyes,0,1490640,青い目
412368,simple_background,0,1420030,シンプルな背景
12590,shirt,0,1382452,シャツ
403247,large_breasts,0,1333379,巨乳
429,skirt,0,1328225,スカート
87788,blonde_hair,0,1311581,ブロンドの髪
566835,multiple_girls,0,1309199,複数の女の子
16867,brown_hair,0,1267072,茶髪
13200,black_hair,0,1225953,黒髪
383159,long_sleeves,0,1199349,長袖
380350,hair_ornament,0,1175185,髪飾り
515193,white_background,0,1161729,白色背景
540830,1boy,0,1129709,1人の男の子
5735,gloves,0,1113040,手袋
8526,red_eyes,0,1081613,赤い目
2241,dress,0,1046050,ドレス
1882,thighhighs,0,1034635,サイハイソックス
2373,hat,0,1034610,帽子
375387,holding,0,1022399,保持
4563,bow,0,984380,弓
9294,navel,0,974528,へそ
6126,animal_ears,0,950191,動物の耳
464575,ribbon,0,937186,リボン
658573,hair_between_eyes,0,922798,目の間の髪
572080,closed_mouth,0,876401,口を閉じた
1821,2girls,0,860944,2人の女の子
4607,cleavage,0,848453,胸の谷間
16613,jewelry,0,829749,ジュエリー
376054,bare_shoulders,0,815753,肩出し
417660,very_long_hair,0,783428,とても長い髪
12289,sitting,0,782247,座っている
1709,twintails,0,770972,ツインテール
667868,medium_breasts,0,770389,中胸
16578,brown_eyes,0,747352,茶色の目
15675,standing,0,733225,立っている
8889,nipples,0,717669,乳首
10960,green_eyes,0,711390,緑の目
464906,underwear,0,706352,下着
10953,blue_hair,0,704952,青い髪
3843,jacket,0,700303,ジャケット
16509,school_uniform,0,688100,制服
15654,purple_eyes,0,669153,紫の目
466499,collarbone,0,655630,鎖骨
15674,tail,0,634183,しっぽ
376766,white_shirt,0,629056,白シャツ
608813,full_body,0,624413,全身
547463,upper_body,0,595301,上半身
391,panties,0,580171,パンティー
465619,closed_eyes,0,570045,目を閉じた
89189,yellow_eyes,0,565375,黄色い目
444,swimsuit,0,564464,水着
16581,white_hair,0,563701,白髪
11429,pink_hair,0,551851,ピンクの髪
1681,monochrome,0,547787,モノクロ
16580,grey_hair,0,529760,白髪
3522,ahoge,0,528662,アホ毛
4334,braid,0,525679,三つ編み
464561,hair_ribbon,0,525639,ヘアリボン
16442,purple_hair,0,524002,紫髪
1300281,male_focus,0,516211,男性フォーカス
2355,ponytail,0,514797,ポニーテール
8101,ass,0,513666,お尻
464559,flower,0,512140,花
11449,weapon,0,506828,武器
390728,multicolored_hair,0,501249,多色の髪
472154,short_sleeves,0,499860,半袖
484168,sidelocks,0,484224,サイドロック
63,comic,0,474986,漫画
622137,hetero,0,472134,異性愛者
2750,heart,0,467808,心臓
3870,thighs,0,465668,太もも
384553,:d,0,464842,:d
374844,hair_bow,0,455229,ヘアボウ
2363,pantyhose,0,441476,パンスト
13879,outdoors,0,439693,屋外
